VALUE,BPS_CODE,BPS_NAME,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,R,G,B,RED,GREEN,BLUE
395,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
396,11460,Southern Rocky Mountain Montane-Subalpine Grassland,52,-9999,48,167,205,178,0.654902,0.803922,0.698039
397,11080,Sonora-Mojave Semi-Desert Chaparral,100,-9999,-9999,255,197,173,1,0.772549,0.678431
398,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,100,-9999,-9999,52,154,184,0.203922,0.603922,0.721569
399,11261,Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush,100,-9999,-9999,230,0,169,0.901961,0,0.662745
400,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
401,10660,Inter-Mountain Basins Mat Saltbush Shrubland,-9999,-9999,-9999,11,190,127,0.043137,0.745098,0.498039
402,10950,Apacherian-Chihuahuan Mesquite Upland Scrub,93,-9999,7,255,56,132,1,0.219608,0.517647
403,10640,Colorado Plateau Mixed Low Sagebrush Shrubland,33,67,-9999,158,170,215,0.619608,0.666667,0.843137
404,10780,Colorado Plateau Blackbrush-Mormon-tea Shrubland,100,-9999,-9999,52,155,207,0.203922,0.607843,0.811765
405,11080,Sonora-Mojave Semi-Desert Chaparral,100,-9999,-9999,255,197,173,1,0.772549,0.678431
406,10930,Southern Colorado Plateau Sand Shrubland,100,-9999,-9999,134,219,24,0.52549,0.858824,0.094118
407,10950,Apacherian-Chihuahuan Mesquite Upland Scrub,80,-9999,20,255,56,132,1,0.219608,0.517647
408,10020,Mediterranean California Sparsely Vegetated Systems,-9999,-9999,-9999,255,245,215,1,0.960784,0.843137
409,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
410,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
411,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
412,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
413,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
414,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
415,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
416,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
417,10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,13,38,49,200,209,255,0.784314,0.819608,1
418,10452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,19,54,27,150,36,181,0.588235,0.141176,0.709804
419,10453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,32,68,-9999,230,5,8,0.901961,0.019608,0.031373
420,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,46,54,-9999,255,170,0,1,0.666667,0
421,10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,43,57,-9999,95,147,229,0.372549,0.576471,0.898039
422,10472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,84,16,-9999,18,144,84,0.070588,0.564706,0.329412
423,10530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,4,23,73,168,85,0,0.658824,0.333333,0
424,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,67,33,-9999,211,255,190,0.827451,1,0.745098
425,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,100,-9999,-9999,56,168,0,0.219608,0.658824,0
426,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,24,46,30,191,19,230,0.74902,0.07451,0.901961
427,10650,Columbia Plateau Scabland Shrubland,100,-9999,-9999,190,255,232,0.745098,1,0.909804
428,10700,Rocky Mountain Alpine Dwarf-Shrubland,100,-9999,-9999,19,118,92,0.07451,0.462745,0.360784
429,10790,Great Basin Xeric Mixed Sagebrush Shrubland,90,10,-9999,57,194,207,0.223529,0.760784,0.811765
430,10800,Inter-Mountain Basins Big Sagebrush Shrubland,100,-9999,-9999,255,190,232,1,0.745098,0.909804
431,11060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,82,18,-9999,137,68,80,0.537255,0.266667,0.313725
432,11150,Inter-Mountain Basins Juniper Savanna,23,43,34,137,112,68,0.537255,0.439216,0.266667
433,11230,Columbia Plateau Steppe and Grassland,100,-9999,-9999,235,218,234,0.921569,0.854902,0.917647
434,11240,Columbia Plateau Low Sagebrush Steppe,100,-9999,-9999,132,140,173,0.517647,0.54902,0.678431
435,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
436,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
437,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
438,11340,Columbia Basin Foothill and Canyon Dry Grassland,100,-9999,-9999,205,245,122,0.803922,0.960784,0.478431
439,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
440,11390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,100,-9999,-9999,171,205,102,0.670588,0.803922,0.4
441,11400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,100,-9999,-9999,167,205,195,0.654902,0.803922,0.764706
442,11420,Columbia Basin Palouse Prairie,100,-9999,-9999,220,220,0,0.862745,0.862745,0
443,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,80,20,-9999,0,197,255,0,0.772549,1
444,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
445,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
446,11590,Rocky Mountain Montane Riparian Systems,50,50,-9999,123,124,93,0.482353,0.486275,0.364706
447,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,40,60,-9999,49,165,167,0.192157,0.647059,0.654902
448,11610,Northern Rocky Mountain Conifer Swamp,100,-9999,-9999,68,79,137,0.266667,0.309804,0.537255
449,11660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,24,50,26,214,112,0,0.839216,0.439216,0
450,11670,Rocky Mountain Poor-Site Lodgepole Pine Forest,88,12,-9999,85,255,0,0.333333,1,0
451,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
452,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
453,10090,Northwestern Great Plains Aspen Forest and Parkland,83,17,-9999,11,202,170,0.043137,0.792157,0.666667
454,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
456,10451,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,13,38,49,200,209,255,0.784314,0.819608,1
457,10452,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Larch,19,54,27,150,36,181,0.588235,0.141176,0.709804
458,10453,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Grand Fir,32,68,-9999,230,5,8,0.901961,0.019608,0.031373
459,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,46,54,-9999,255,170,0,1,0.666667,0
460,10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,43,57,-9999,95,147,229,0.372549,0.576471,0.898039
461,10472,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest-Cedar Groves,84,16,-9999,18,144,84,0.070588,0.564706,0.329412
462,10490,Rocky Mountain Foothill Limber Pine-Juniper Woodland,100,-9999,-9999,102,205,171,0.4,0.803922,0.670588
463,10530,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,4,23,73,168,85,0,0.658824,0.333333,0
464,10550,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,67,33,-9999,211,255,190,0.827451,1,0.745098
465,10560,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,100,-9999,-9999,56,168,0,0.219608,0.658824,0
466,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,24,46,30,191,19,230,0.74902,0.07451,0.901961
467,10700,Rocky Mountain Alpine Dwarf-Shrubland,100,-9999,-9999,19,118,92,0.07451,0.462745,0.360784
468,10800,Inter-Mountain Basins Big Sagebrush Shrubland,100,-9999,-9999,255,190,232,1,0.745098,0.909804
469,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
470,11060,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,82,18,-9999,137,68,80,0.537255,0.266667,0.313725
471,11150,Inter-Mountain Basins Juniper Savanna,23,43,34,137,112,68,0.537255,0.439216,0.266667
472,11240,Columbia Plateau Low Sagebrush Steppe,100,-9999,-9999,132,140,173,0.517647,0.54902,0.678431
473,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
474,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
475,11390,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,100,-9999,-9999,171,205,102,0.670588,0.803922,0.4
476,11400,Northern Rocky Mountain Subalpine-Upper Montane Grassland,100,-9999,-9999,167,205,195,0.654902,0.803922,0.764706
477,11430,Rocky Mountain Alpine Fell-Field,100,-9999,-9999,130,130,130,0.509804,0.509804,0.509804
478,11440,Rocky Mountain Alpine Turf,100,-9999,-9999,93,43,29,0.364706,0.168627,0.113725
479,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,80,20,-9999,0,197,255,0,0.772549,1
480,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
481,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
482,11590,Rocky Mountain Montane Riparian Systems,50,50,-9999,123,124,93,0.482353,0.486275,0.364706
483,11600,Rocky Mountain Subalpine/Upper Montane Riparian Systems,40,60,-9999,49,165,167,0.192157,0.647059,0.654902
484,11610,Northern Rocky Mountain Conifer Swamp,100,-9999,-9999,68,79,137,0.266667,0.309804,0.537255
485,11660,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,24,50,26,214,112,0,0.839216,0.439216,0
486,11662,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland-Fire-maintained Savanna,9,12,79,255,120,0,1,0.470588,0
487,11670,Rocky Mountain Poor-Site Lodgepole Pine Forest,88,12,-9999,85,255,0,0.333333,1,0
488,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
491,10160,Colorado Plateau Pinyon-Juniper Woodland,33,46,21,205,170,102,0.803922,0.666667,0.4
492,10190,Great Basin Pinyon-Juniper Woodland,33,47,20,115,76,0,0.45098,0.298039,0
493,10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,36,-9999,64,14,46,57,0.054902,0.180392,0.223529
494,10520,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,18,21,61,115,149,230,0.45098,0.584314,0.901961
495,10540,Southern Rocky Mountain Ponderosa Pine Woodland,6,39,55,168,56,0,0.658824,0.219608,0
496,10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,41,59,-9999,230,230,0,0.901961,0.901961,0
497,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,24,46,30,191,19,230,0.74902,0.07451,0.901961
498,10790,Great Basin Xeric Mixed Sagebrush Shrubland,88,12,-9999,57,194,207,0.223529,0.760784,0.811765
499,10800,Inter-Mountain Basins Big Sagebrush Shrubland,100,-9999,-9999,255,190,232,1,0.745098,0.909804
500,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
501,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
502,10860,Rocky Mountain Lower Montane-Foothill Shrubland,21,79,-9999,137,68,101,0.537255,0.266667,0.396078
503,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,100,-9999,-9999,52,154,184,0.203922,0.603922,0.721569
505,10910,Sonoran Mid-Elevation Desert Scrub,100,-9999,-9999,176,6,99,0.690196,0.023529,0.388235
506,10930,Southern Colorado Plateau Sand Shrubland,100,-9999,-9999,134,219,24,0.52549,0.858824,0.094118
508,11030,Great Basin Semi-Desert Chaparral,100,-9999,-9999,174,250,255,0.682353,0.980392,1
510,11070,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,25,75,-9999,115,255,223,0.45098,1,0.87451
512,11090,Sonoran Paloverde-Mixed Cacti Desert Scrub,100,-9999,-9999,233,214,245,0.913725,0.839216,0.960784
513,11150,Inter-Mountain Basins Juniper Savanna,23,44,33,137,112,68,0.537255,0.439216,0.266667
516,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
517,11270,Inter-Mountain Basins Semi-Desert Shrub-Steppe,100,-9999,-9999,194,158,215,0.760784,0.619608,0.843137
518,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
519,11450,Rocky Mountain Subalpine-Montane Mesic Meadow,80,20,-9999,0,197,255,0,0.772549,1
520,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
521,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
522,11550,North American Warm Desert Riparian Systems,3,97,-9999,123,160,117,0.482353,0.627451,0.458824
523,11552,North American Warm Desert Riparian Systems-Stringers,100,-9999,-9999,84,160,117,0.329412,0.627451,0.458824
525,10040,North American Warm Desert Sparsely Vegetated Systems,-9999,-9999,-9999,255,242,189,1,0.94902,0.741176
526,10160,Colorado Plateau Pinyon-Juniper Woodland,33,46,21,205,170,102,0.803922,0.666667,0.4
527,10190,Great Basin Pinyon-Juniper Woodland,33,47,20,115,76,0,0.45098,0.298039,0
528,10230,Madrean Encinal,18,13,69,0,167,132,0,0.654902,0.517647
530,10250,Madrean Pinyon-Juniper Woodland,34,22,44,160,106,31,0.627451,0.415686,0.121569
531,10540,Southern Rocky Mountain Ponderosa Pine Woodland,6,39,55,168,56,0,0.658824,0.219608,0
532,10800,Inter-Mountain Basins Big Sagebrush Shrubland,100,-9999,-9999,255,190,232,1,0.745098,0.909804
533,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
534,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,100,-9999,-9999,52,154,184,0.203922,0.603922,0.721569
535,10880,Sonora-Mojave Mixed Salt Desert Scrub,-9999,-9999,-9999,245,222,110,0.960784,0.870588,0.431373
536,10900,Sonoran Granite Outcrop Desert Scrub,100,-9999,-9999,255,160,0,1,0.627451,0
537,10910,Sonoran Mid-Elevation Desert Scrub,100,-9999,-9999,176,6,99,0.690196,0.023529,0.388235
538,11040,Mogollon Chaparral,100,-9999,-9999,173,250,211,0.678431,0.980392,0.827451
539,11080,Sonora-Mojave Semi-Desert Chaparral,100,-9999,-9999,255,197,173,1,0.772549,0.678431
540,11090,Sonoran Paloverde-Mixed Cacti Desert Scrub,100,-9999,-9999,233,214,245,0.913725,0.839216,0.960784
541,11150,Inter-Mountain Basins Juniper Savanna,23,43,34,137,112,68,0.537255,0.439216,0.266667
542,11210,Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,80,-9999,20,255,221,216,1,0.866667,0.847059
544,11350,Inter-Mountain Basins Semi-Desert Grassland,100,-9999,-9999,185,174,211,0.72549,0.682353,0.827451
545,11550,North American Warm Desert Riparian Systems,3,97,-9999,123,160,117,0.482353,0.627451,0.458824
546,11552,North American Warm Desert Riparian Systems-Stringers,100,-9999,-9999,84,160,117,0.329412,0.627451,0.458824
547,10080,North Pacific Oak Woodland,3,26,71,255,120,120,1,0.470588,0.470588
548,10150,California Coastal Redwood Forest,7,-9999,93,168,0,0,0.658824,0,0
549,10210,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,5,13,82,245,181,149,0.960784,0.709804,0.584314
550,10220,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,5,13,82,237,139,90,0.929412,0.545098,0.352941
551,10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,3,26,71,158,187,215,0.619608,0.733333,0.843137
552,10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,6,33,61,84,98,168,0.329412,0.384314,0.658824
553,10290,Mediterranean California Mixed Oak Woodland,3,25,72,220,100,100,0.862745,0.392157,0.392157
554,10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,6,27,67,180,80,145,0.705882,0.313725,0.568627
555,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,6,11,83,167,70,0,0.654902,0.27451,0
556,10320,Mediterranean California Red Fir Forest,14,43,43,255,59,127,1,0.231373,0.498039
557,10330,Mediterranean California Subalpine Woodland,54,46,-9999,226,194,162,0.886275,0.760784,0.635294
558,10390,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,100,-9999,-9999,170,227,170,0.666667,0.890196,0.666667
560,10440,Northern California Mesic Subalpine Woodland,65,35,-9999,255,133,0,1,0.521569,0
561,10960,California Maritime Chaparral,100,-9999,-9999,200,170,140,0.784314,0.666667,0.54902
562,10970,California Mesic Chaparral,100,-9999,-9999,200,190,85,0.784314,0.745098,0.333333
563,10980,California Montane Woodland and Chaparral,37,63,-9999,210,170,50,0.823529,0.666667,0.196078
564,10990,California Xeric Serpentine Chaparral,100,-9999,-9999,172,105,205,0.67451,0.411765,0.803922
565,11050,Northern and Central California Dry-Mesic Chaparral,100,-9999,-9999,245,246,175,0.960784,0.964706,0.686275
566,11130,California Coastal Live Oak Woodland and Savanna,8,42,50,68,145,112,0.266667,0.568627,0.439216
567,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,7,2,91,179,255,232,0.701961,1,0.909804
568,11280,Northern California Coastal Scrub,100,-9999,-9999,148,194,168,0.580392,0.760784,0.658824
569,11300,California Mesic Serpentine Grassland,100,-9999,-9999,205,188,214,0.803922,0.737255,0.839216
570,11310,California Northern Coastal Grassland,100,-9999,-9999,237,240,216,0.929412,0.941176,0.847059
571,11370,Mediterranean California Subalpine Meadow,80,20,-9999,0,188,255,0,0.737255,1
572,11380,North Pacific Montane Grassland,100,-9999,-9999,199,230,158,0.780392,0.901961,0.619608
573,11520,California Montane Riparian Systems,55,45,-9999,65,150,167,0.254902,0.588235,0.654902
574,11630,Pacific Coastal Marsh Systems,69,31,-9999,68,79,125,0.266667,0.309804,0.490196
575,11700,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,7,-9999,93,210,235,0,0.823529,0.921569,0
576,11770,California Coastal Closed-Cone Conifer Forest and Woodland,48,26,26,237,207,0,0.929412,0.811765,0
577,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
579,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
580,10170,Columbia Plateau Western Juniper Woodland and Savanna,38,62,-9999,14,245,98,0.054902,0.960784,0.384314
581,10190,Great Basin Pinyon-Juniper Woodland,51,49,-9999,115,76,0,0.45098,0.298039,0
582,10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,29,-9999,71,14,46,57,0.054902,0.180392,0.223529
583,10210,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,5,13,82,245,181,149,0.960784,0.709804,0.584314
584,10270,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,7,31,62,158,187,215,0.619608,0.733333,0.843137
585,10280,Mediterranean California Mesic Mixed Conifer Forest and Woodland,12,37,51,84,98,168,0.329412,0.384314,0.658824
586,10290,Mediterranean California Mixed Oak Woodland,3,25,72,220,100,100,0.862745,0.392157,0.392157
587,10300,Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,6,27,67,180,80,145,0.705882,0.313725,0.568627
588,10310,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,6,11,83,167,70,0,0.654902,0.27451,0
589,10321,Mediterranean California Red Fir Forest-Cascades,23,19,58,255,59,127,1,0.231373,0.498039
590,10322,Mediterranean California Red Fir Forest-Southern Sierra,18,16,66,255,145,151,1,0.568627,0.592157
591,10330,Mediterranean California Subalpine Woodland,54,46,-9999,226,194,162,0.886275,0.760784,0.635294
592,10340,Mediterranean California Mesic Serpentine Woodland and Chaparral,37,63,-9999,115,0,76,0.45098,0,0.298039
593,10431,Mediterranean California Mixed Evergreen Forest-Interior,9,30,61,164,196,143,0.643137,0.768627,0.560784
594,10440,Northern California Mesic Subalpine Woodland,65,35,-9999,255,133,0,1,0.521569,0
595,10510,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,12,14,74,190,210,255,0.745098,0.823529,1
596,10581,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Wet,23,69,8,127,234,0,0.498039,0.917647,0
597,10582,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland-Dry,11,46,43,179,255,0,0.701961,1,0
598,10610,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,24,16,60,230,230,0,0.901961,0.901961,0
599,10620,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,24,47,29,191,19,230,0.74902,0.07451,0.901961
600,10670,Mediterranean California Alpine Fell-Field,100,-9999,-9999,140,140,140,0.54902,0.54902,0.54902
601,10710,Sierra Nevada Alpine Dwarf-Shrubland,100,-9999,-9999,25,125,95,0.098039,0.490196,0.372549
602,10790,Great Basin Xeric Mixed Sagebrush Shrubland,90,10,-9999,57,194,207,0.223529,0.760784,0.811765
604,10810,Inter-Mountain Basins Mixed Salt Desert Scrub,100,-9999,-9999,245,202,122,0.960784,0.792157,0.478431
605,10820,Mojave Mid-Elevation Mixed Desert Scrub,100,-9999,-9999,216,6,73,0.847059,0.023529,0.286275
606,10870,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,100,-9999,-9999,52,154,184,0.203922,0.603922,0.721569
607,10970,California Mesic Chaparral,100,-9999,-9999,200,190,85,0.784314,0.745098,0.333333
608,10980,California Montane Woodland and Chaparral,37,63,-9999,210,170,50,0.823529,0.666667,0.196078
609,11030,Great Basin Semi-Desert Chaparral,100,-9999,-9999,174,250,255,0.682353,0.980392,1
610,11050,Northern and Central California Dry-Mesic Chaparral,100,-9999,-9999,245,246,175,0.960784,0.964706,0.686275
611,11140,California Lower Montane Blue Oak-Foothill Pine Woodland and Savanna,7,2,91,179,255,232,0.701961,1,0.909804
612,11250,Inter-Mountain Basins Big Sagebrush Steppe,100,-9999,-9999,255,115,223,1,0.45098,0.87451
613,11260,Inter-Mountain Basins Montane Sagebrush Steppe,100,-9999,-9999,230,0,169,0.901961,0,0.662745
614,11360,Mediterranean California Alpine Dry Tundra,100,-9999,-9999,100,43,29,0.392157,0.168627,0.113725
615,11370,Mediterranean California Subalpine Meadow,80,20,-9999,0,188,255,0,0.737255,1
616,11380,North Pacific Montane Grassland,100,-9999,-9999,199,230,158,0.780392,0.901961,0.619608
617,11520,California Montane Riparian Systems,52,48,-9999,65,150,167,0.254902,0.588235,0.654902
618,11530,Inter-Mountain Basins Greasewood Flat,100,-9999,-9999,225,225,225,0.882353,0.882353,0.882353
619,11540,Inter-Mountain Basins Montane Riparian Systems,100,-9999,-9999,154,156,117,0.603922,0.611765,0.458824
620,10010,Inter-Mountain Basins Sparsely Vegetated Systems,-9999,-9999,-9999,255,255,190,1,1,0.745098
621,10060,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems,-9999,-9999,-9999,78,78,78,0.305882,0.305882,0.305882
622,10110,Rocky Mountain Aspen Forest and Woodland,46,54,-9999,255,255,115,1,1,0.45098
623,10170,Columbia Plateau Western Juniper Woodland and Savanna,38,62,-9999,14,245,98,0.054902,0.960784,0.384314
624,10190,Great Basin Pinyon-Juniper Woodland,51,49,-9999,115,76,0,0.45098,0.298039,0
625,10200,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,29,-9999,71,14,46,57,0.054902,0.180392,0.223529
626,10450,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,12,21,67,200,209,255,0.784314,0.819608,1
627,10460,Northern Rocky Mountain Subalpine Woodland and Parkland,19,81,-9999,255,170,0,1,0.666667,0
628,10470,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,35,45,20,95,147,229,0.372549,0.576471,0.898039
629,10531,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna-Mesic,6,18,76,168,85,0,0.658824,0.333333,0
